,SEGUNDA,,,,,,TERCA,,,,,,QUARTA,,,,,,QUINTA,,,,,,SEXTA,,,,
,lcc1,emp-em-soft,hyggo,opt-especifica,-;-,,cd105,plp-t2,everton,obrigatoria,4;4,,cd107,fpcc1,fubica,pos-graduacao,-,,,,,,,,,,,,
,cd107,fpcc3,leandro,pos-graduacao,-,,pre,plp-t1,melina,obrigatoria,4;4,,re08,economia-ti,antao,opt-especifica,-;-,,re16,loac-t2,elmar,obrigatoria,4;4,,,,,,
,re08,infosoc,robert,"obrigatoria/opt-geral",5;-,,re08,ia,herman,obrigatoria,6;6,,pre,cnum-t1,marcus,outros-cursos,-,,cd105,proj2,hyggo,obrigatoria,8;9,,,,,,
,,,,,,,re03,tcomp-t2,kyller,obrigatoria,3;5,,pre,icc-t2,roberto,outros-cursos,-,,pre,metodologia,nazareno/raquel,obrigatoria,2;6,,,,,,
,,,,,,,pre,cnum-t4,bruno,outros-cursos,-,,pre,es,rohit,obrigatoria,4;5,,re05,ipdee-t3,roberto,outros-cursos,-,,,,,,
,,,,,,,pre,tecprogdee-t2,eustaquio,outros-cursos,-,,pre,administracao-t1,adm,opt-geral,-;-,,,,,obrigatoria,-;6,,,,,,
,,,,,,,,,,,,,pre,calculo1-t3,mat,obrigatoria,1;2,,pre,linear-t4,mat,obrigatoria,3;3,,,,,,
,,,,,,,pre,grafos-t1,patricia,obrigatoria,2;3,,pre,calculo1-t4,mat,obrigatoria,1;2,,pre,economia-t1,outro,opt-geral,-;-,,,,,,
,lcc1,leda-t1,adalberto,obrigatoria,3;3,,re01,adm-si-t1,robert,outros-cursos,-,,,,,,,,,,,,,,,,,,
,lcc2,leda-t2,campelo,obrigatoria,3;3,,pre,administracao-t2,adm,opt-geral,-;-,,pre,economia-t2,outro,opt-geral,-;-,,pre,icc-t4,eliane,outros-cursos,-,,,,,,
,,,,,,,pre,economia-t3,outro,opt-geral,-;-,,,,,,,,,,,,,,,,,,
17,,,,,,,cd107,gestao-projetos,wilkerson,opt-especifica,-;-,,cd105,daca,matheus,opt-especifica,-;-,,,,,,,,,,,,
,,,,,,,,,,,,,re16,loac-t1,elmar,obrigatoria,,,,,,,,,,,,,
,,,,,,,,,,,,,pre/LCC3,psoft-t1,melina,obrigatoria,4;4,,,,,,,,,,,,
,,,,,,,,,,,,,pre/LCC3,psoft-t2,dalton,obrigatoria,4;4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,pre,cnum-t3,marcelo,outros-cursos,-,,cd107,proj1,kyller,obrigatoria,7;8,,,,,,,,cd107,proj1,kyller,obrigatoria,8;7,,re08,seminarios,marcelo,obrigatoria,-;-
,cd107,estagio3,campelo,opt-especifica,-;-,,re04,jogos,marcelo,opt-especifica,-;-,,re04,jogos,marcelo,opt-especifica,-;-,,,,,,,,,,,,
,,,,,,,pre,futsal,outro,opt-geral,-;-,,pre,icc-t3,cwilson,outros-cursos,-,,pre,futsal,outro,opt-geral,-;-,,,,,,
,,,,,,,re08,aa1,rohit,opt-especifica,-;-,,,,,,,,re08,aa1,rohit,opt-especifica,-;-,,,,,,
,,,,,,,cd105,sad,baptista,opt-especifica,-;-,,,,,,,,cd105,sad,baptista,opt-especifica,-;-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,cd105,didatica1,andrey,opt-especifica,-;-,,cd105,estagio1,campelo,opt-especifica,-;-,,cd105,didatica2,andrey,opt-especifica,-;-,,cd107,estagio3,campelo,opt-especifica,-;-,,pre,icc-t3,cwilson,outros-cursos,-
,,,,,,,,,,,,,pre,cnum-t3,marcelo,outros-cursos,-,,,,,,,,,,,,
